,,,Surrey Centre (Federal electoral district - 2013 Representation Order),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Marital status,      Married (and not separated),,   44205,,   22120,,   22085,, 1832605,,  913430,,  919175,
Marital status,      Living common law,,    6075,,    3045,,    3030,,  321965,,  161530,,  160435,
Marital status,   Not married and not living with a common-law partner,,   40625,,   20540,,   20090,, 1568120,,  734075,,  834040,
Marital status,      Single (never legally married),,   27440,,   15600,,   11835,, 1014270,,  550830,,  463435,
Marital status,      Separated,,    2900,,    1290,,    1610,,  102040,,   43570,,   58470,
Marital status,      Divorced,,    5780,,    2685,,    3095,,  246515,,   98130,,  148385,
Marital status,      Widowed,,    4510,,     960,,    3550,,  205300,,   41550,,  163750,
Family characteristics,Total number of census families in private households,7,   29755,,,...,,..., 1238155,,,...,,...
Family characteristics,   Size of census family: 2 persons,,   12950,,,...,,...,  645245,,,...,,...
Family characteristics,   Size of census family: 3 persons,,    6760,,,...,,...,  263910,,,...,,...
Family characteristics,   Size of census family: 4 persons,,    6705,,,...,,...,  238525,,,...,,...
Family characteristics,   Size of census family: 5 or more persons,,    3345,,,...,,...,   90470,,,...,,...
Family characteristics,Total number of census families in private households,8,   29760,,,...,,..., 1238155,,,...,,...
Family characteristics,   Total couple families by family structure and number of children,,   24115,,,...,,..., 1048350,,,...,,...
Family characteristics,      Married couples,,   21080,,,...,,...,  887990,,,...,,...
Family characteristics,         Without children at home,,    7695,,,...,,...,  422310,,,...,,...
Family characteristics,         With children at home,,   13385,,,...,,...,  465680,,,...,,...
Family characteristics,            1 child,,    4685,,,...,,...,  181895,,,...,,...
Family characteristics,            2 children,,    5760,,,...,,...,  205505,,,...,,...
Family characteristics,            3 or more children,,    2945,,,...,,...,   78280,,,...,,...
Family characteristics,      Common-law couples,,    3030,,,...,,...,  160360,,,...,,...
Family characteristics,         Without children at home,,    1820,,,...,,...,  105425,,,...,,...
Family characteristics,         With children at home,,    1210,,,...,,...,   54935,,,...,,...
Family characteristics,            1 child,,     610,,,...,,...,   27565,,,...,,...
Family characteristics,            2 children,,     410,,,...,,...,   19145,,,...,,...
Family characteristics,            3 or more children,,     195,,,...,,...,    8225,,,...,,...
Family characteristics,   Total lone-parent families by sex of parent and number of children,,    5645,,,...,,...,  189805,,,...,,...
Family characteristics,      Female parent,,    4460,,,...,,...,  149010,,,...,,...
Family characteristics,         1 child,,    2630,,,...,,...,   90235,,,...,,...
Family characteristics,         2 children,,    1210,,,...,,...,   43935,,,...,,...
Family characteristics,         3 or more children,,     630,,,...,,...,   14835,,,...,,...
Family characteristics,      Male parent,,    1180,,,...,,...,   40795,,,...,,...
Family characteristics,         1 child,,     810,,,...,,...,   27275,,,...,,...
Family characteristics,         2 children,,     260,,,...,,...,   10510,,,...,,...
Family characteristics,         3 or more children,,     115,,,...,,...,    3005,,,...,,...
Family characteristics,Total children in census families in private households,,   37020,,,...,,..., 1230340,,,...,,...
Family characteristics,   Under six years of age,,    8235,,,...,,...,  260215,,,...,,...
Family characteristics,   6 to 14 years,,   12100,,,...,,...,  409250,,,...,,...
Family characteristics,   15 to 17 years,,    4240,,,...,,...,  156650,,,...,,...
Family characteristics,   18 to 24 years,,    7605,,,...,,...,  255855,,,...,,...
Family characteristics,   25 years and over,,    4840,,,...,,...,  148375,,,...,,...
Family characteristics,Average number of children at home per census family,,    1.2,,,...,,...,    1.0,,,...,,...
Household and dwelling characteristics,Total number of persons in private households,,  110170,,   55775,,   54400,, 4324505,, 2122320,, 2202185,
Household and dwelling characteristics,   Number of persons not in census families,,   19280,,   10575,,    8710,,  807660,,  383540,,  424120,
Household and dwelling characteristics,      Living with relatives,9,    4215,,    1725,,    2490,,  105450,,   42525,,   62925,
Household and dwelling characteristics,      Living with non-relatives only,,    5470,,    3430,,    2035,,  203285,,  111935,,   91345,
Household and dwelling characteristics,      Living alone,,    9595,,    5415,,    4180,,  498920,,  229075,,  269850,
Household and dwelling characteristics,   Number of census family persons,,   90890,,   45200,,   45695,, 3516850,, 1738780,, 1778070,
Household and dwelling characteristics,Average number of persons per census family,,    3.1,,,...,,...,    2.8,,,...,,...
Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,   11275,,    5340,,    5935,,  643410,,  302320,,  341095,
Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,,    3905,,    1375,,    2530,,  211820,,   65460,,  146365,
Household and dwelling characteristics,      Living with relatives,9,    1345,,     355,,     995,,   32900,,    7490,,   25410,
Household and dwelling characteristics,      Living with non-relatives only,,     325,,     185,,     135,,   13560,,    6770,,    6790,
Household and dwelling characteristics,      Living alone,,    2240,,     840,,    1405,,  165365,,   51195,,  114165,
Household and dwelling characteristics,   Number of census family persons aged 65 years and over,,    7365,,    3960,,    3405,,  431590,,  236860,,  194730,
Household and dwelling characteristics,Total number of private households by household type,10,   38030,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Census-family households,,   26325,,,...,,..., 1183075,,,...,,...
Household and dwelling characteristics,      One-family-only households,11,   20190,,,...,,..., 1041470,,,...,,...
Household and dwelling characteristics,         Couple-family households,12,   16430,,,...,,...,  898030,,,...,,...
Household and dwelling characteristics,            Without children,,    6395,,,...,,...,  458880,,,...,,...
Household and dwelling characteristics,            With children,,   10035,,,...,,...,  439150,,,...,,...
Household and dwelling characteristics,         Lone-parent-family households,,    3760,,,...,,...,  143445,,,...,,...
Household and dwelling characteristics,      Other family households,13,    6135,,,...,,...,  141600,,,...,,...
Household and dwelling characteristics,         One-family households with persons not in a census family,,    3210,,,...,,...,   91190,,,...,,...
Household and dwelling characteristics,            Couple-family households,14,    2355,,,...,,...,   66105,,,...,,...
Household and dwelling characteristics,               Without children,,     570,,,...,,...,   23805,,,...,,...
Household and dwelling characteristics,               With children,,    1785,,,...,,...,   42300,,,...,,...
Household and dwelling characteristics,            Lone-parent-family households,,     855,,,...,,...,   25085,,,...,,...
Household and dwelling characteristics,         Two-or-more-family households,,    2925,,,...,,...,   50415,,,...,,...
Household and dwelling characteristics,   Non-census-family households,,   11705,,,...,,...,  581565,,,...,,...
Household and dwelling characteristics,      One-person households,,    9600,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,      Two-or-more-person households,,    2110,,,...,,...,   82640,,,...,,...
Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,15,   38030,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Single-detached house,,   10370,,,...,,...,  842120,,,...,,...
Household and dwelling characteristics,   Apartment; building that has five or more storeys,,    3470,,,...,,...,  143970,,,...,,...
Household and dwelling characteristics,   Movable dwelling,16,     205,,,...,,...,   46960,,,...,,...
Household and dwelling characteristics,   Other dwelling,17,   23985,,,...,,...,  731585,,,...,,...
Household and dwelling characteristics,      Semi-detached house,,     605,,,...,,...,   52825,,,...,,...
Household and dwelling characteristics,      Row house,,    2595,,,...,,...,  130365,,,...,,...
Household and dwelling characteristics,      Apartment; duplex,,    8410,,,...,,...,  184355,,,...,,...
Household and dwelling characteristics,      Apartment; building that has fewer than five storeys,,   12340,,,...,,...,  361150,,,...,,...
Household and dwelling characteristics,      Other single-attached house,,      35,,,...,,...,    2885,,,...,,...
Household and dwelling characteristics,Total number of private households by household size,18,   38030,,,...,,..., 1764640,,,...,,...
Household and dwelling characteristics,   1 person,,    9595,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,   2 persons,,   10305,,,...,,...,  613270,,,...,,...
Household and dwelling characteristics,   3 persons,,    5945,,,...,,...,  264135,,,...,,...
Household and dwelling characteristics,   4 persons,,    5645,,,...,,...,  237725,,,...,,...
Household and dwelling characteristics,   5 persons,,    3130,,,...,,...,   91600,,,...,,...
Household and dwelling characteristics,   6 or more persons,,    3410,,,...,,...,   58985,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,  110170,,,...,,..., 4324505,,,...,,...
Household and dwelling characteristics,Average number of persons in private households,,    2.9,,,...,,...,    2.5,,,...,,...
Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,19,  110410,,   55875,,   54535,, 4356205,, 2137240,, 2218965,
Detailed mother tongue,  Single responses ,,  105925,,   53680,,   52245,, 4273930,, 2098055,, 2175870,
Detailed mother tongue,    English ,,   49845,,   26140,,   23705,, 3062435,, 1526350,, 1536085,
Detailed mother tongue,    French ,,     860,,     470,,     390,,   57275,,   28315,,   28965,
Detailed mother tongue,    Non-official languages ,,   55220,,   27075,,   28150,, 1154215,,  543395,,  610825,
Detailed mother tongue,      Selected Aboriginal languages,20,      35,,      20,,      20,,    1210,,     540,,     675,
Detailed mother tongue,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Cree; n.o.s. ,,      30,,      10,,      15,,     955,,     435,,     525,
Detailed mother tongue,        Dene ,,       0,,       0,,       0,,      70,,      35,,      35,
Detailed mother tongue,        Innu/Montagnais ,,       0,,       0,,       0,,       5,,       5,,       0,
Detailed mother tongue,        Inuktitut ,,       0,,       0,,       0,,      25,,      10,,      10,
Detailed mother tongue,        Mi'kmaq ,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Ojibway ,,       5,,       0,,       5,,     140,,      50,,      90,
Detailed mother tongue,        Oji-Cree ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Stoney ,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed mother tongue,      Selected non-Aboriginal languages,21,   54645,,   26785,,   27865,, 1137420,,  535395,,  602025,
Detailed mother tongue,        African languages; n.i.e. ,,     120,,      50,,      65,,     620,,     330,,     295,
Detailed mother tongue,        Afrikaans ,,       5,,      10,,       0,,    2735,,    1330,,    1405,
Detailed mother tongue,        Akan (Twi) ,,      45,,      25,,      25,,     455,,     235,,     220,
Detailed mother tongue,        Albanian ,,      80,,      45,,      35,,    1335,,     695,,     635,
Detailed mother tongue,        Amharic ,,     125,,      55,,      70,,    1255,,     615,,     640,
Detailed mother tongue,        Arabic ,,    1340,,     715,,     620,,   13050,,    7505,,    5550,
Detailed mother tongue,        Armenian ,,      15,,      10,,       5,,    1105,,     560,,     545,
Detailed mother tongue,        Bantu languages; n.i.e. ,,      40,,      20,,      25,,     530,,     235,,     295,
Detailed mother tongue,        Bengali ,,     185,,      95,,      95,,    2410,,    1265,,    1145,
Detailed mother tongue,        Berber languages (Kabyle) ,,       5,,       0,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Bisayan languages ,,     360,,     160,,     195,,    3870,,    1445,,    2430,
Detailed mother tongue,        Bosnian ,,      30,,      20,,      15,,    1275,,     635,,     640,
Detailed mother tongue,        Bulgarian ,,      25,,      15,,      10,,    1945,,     960,,     985,
Detailed mother tongue,        Burmese ,,     170,,     100,,      65,,     945,,     485,,     465,
Detailed mother tongue,        Cantonese ,,     950,,     455,,     500,,  133245,,   61790,,   71455,
Detailed mother tongue,        Chinese; n.o.s. ,,    1785,,     850,,     940,,  120040,,   55735,,   64305,
Detailed mother tongue,        Creoles ,,     110,,      50,,      60,,     640,,     315,,     320,
Detailed mother tongue,        Croatian ,,     160,,      90,,      70,,    7820,,    3860,,    3955,
Detailed mother tongue,        Czech ,,     130,,      70,,      60,,    5610,,    2800,,    2810,
Detailed mother tongue,        Danish ,,      85,,      45,,      40,,    5250,,    2575,,    2675,
Detailed mother tongue,        Dutch ,,     250,,     130,,     120,,   23080,,   11190,,   11890,
Detailed mother tongue,        Estonian ,,       5,,       5,,       5,,     820,,     345,,     475,
Detailed mother tongue,        Finnish ,,      75,,      30,,      45,,    4090,,    1705,,    2390,
Detailed mother tongue,        Flemish ,,      10,,       0,,       5,,     445,,     215,,     235,
Detailed mother tongue,        Fukien ,,      25,,      15,,      10,,    1920,,     835,,    1085,
Detailed mother tongue,        German ,,     865,,     425,,     445,,   73625,,   35140,,   38485,
Detailed mother tongue,        Greek ,,     120,,      75,,      45,,    6250,,    3360,,    2885,
Detailed mother tongue,        Gujarati ,,     255,,     125,,     135,,    6595,,    3060,,    3540,
Detailed mother tongue,        Hakka ,,      15,,       5,,       5,,    1110,,     475,,     630,
Detailed mother tongue,        Hebrew ,,      15,,      10,,       5,,    1755,,     970,,     785,
Detailed mother tongue,        Hindi ,,    4625,,    2230,,    2400,,   24640,,   11840,,   12800,
Detailed mother tongue,        Hungarian ,,     350,,     180,,     165,,    9855,,    4915,,    4940,
Detailed mother tongue,        Ilocano ,,     295,,     125,,     175,,    3755,,    1465,,    2290,
Detailed mother tongue,        Indo-Iranian languages; n.i.e. ,,      30,,      20,,      10,,     475,,     265,,     205,
Detailed mother tongue,        Italian ,,     210,,     110,,      90,,   24060,,   12180,,   11880,
Detailed mother tongue,        Japanese ,,     215,,      70,,     145,,   19665,,    6840,,   12825,
Detailed mother tongue,        Khmer (Cambodian) ,,     195,,      95,,     100,,    1465,,     700,,     770,
Detailed mother tongue,        Korean ,,    1315,,     615,,     695,,   48975,,   22350,,   26625,
Detailed mother tongue,        Kurdish ,,      20,,      10,,      10,,    1415,,     775,,     645,
Detailed mother tongue,        Lao ,,     150,,      75,,      70,,    1155,,     550,,     600,
Detailed mother tongue,        Latvian ,,       0,,       0,,       5,,     615,,     305,,     310,
Detailed mother tongue,        Lingala ,,       0,,       0,,       0,,      35,,      20,,      20,
Detailed mother tongue,        Lithuanian ,,       5,,       5,,       0,,     435,,     190,,     245,
Detailed mother tongue,        Macedonian ,,       5,,       0,,       0,,     275,,     130,,     140,
Detailed mother tongue,        Malay ,,     125,,      60,,      70,,    3535,,    1590,,    1950,
Detailed mother tongue,        Malayalam ,,      90,,      50,,      45,,    1460,,     735,,     725,
Detailed mother tongue,        Maltese ,,       0,,       5,,       0,,     220,,     115,,     115,
Detailed mother tongue,        Mandarin ,,    1505,,     720,,     780,,   94055,,   43630,,   50425,
Detailed mother tongue,        Marathi ,,      15,,      10,,       5,,     430,,     220,,     210,
Detailed mother tongue,        Nepali ,,     165,,      90,,      75,,     805,,     430,,     375,
Detailed mother tongue,        Niger-Congo languages; n.i.e. ,,      70,,      40,,      30,,     470,,     250,,     220,
Detailed mother tongue,        Norwegian ,,      45,,      25,,      25,,    2370,,    1155,,    1215,
Detailed mother tongue,        Oromo ,,      20,,      15,,      10,,     325,,     185,,     140,
Detailed mother tongue,        Panjabi (Punjabi) ,,   23345,,   11665,,   11680,,  182915,,   90900,,   92020,
Detailed mother tongue,        Pashto ,,     115,,      65,,      50,,     900,,     485,,     415,
Detailed mother tongue,        Persian (Farsi) ,,     655,,     340,,     315,,   36045,,   18265,,   17775,
Detailed mother tongue,        Polish ,,     930,,     485,,     445,,   17460,,    8185,,    9270,
Detailed mother tongue,        Portuguese ,,     295,,     160,,     135,,   14605,,    6990,,    7615,
Detailed mother tongue,        Romanian ,,     195,,     105,,      95,,    8330,,    4110,,    4220,
Detailed mother tongue,        Rundi (Kirundi) ,,      30,,      10,,      15,,     135,,      60,,      80,
Detailed mother tongue,        Russian ,,     460,,     210,,     250,,   22650,,   10300,,   12350,
Detailed mother tongue,        Rwanda (Kinyarwanda) ,,       5,,       5,,       0,,      80,,      40,,      45,
Detailed mother tongue,        Semitic languages; n.i.e. ,,     315,,     160,,     155,,     690,,     345,,     340,
Detailed mother tongue,        Serbian ,,     135,,      85,,      50,,    6655,,    3425,,    3225,
Detailed mother tongue,        Serbo-Croatian ,,      20,,       5,,      15,,    1425,,     675,,     755,
Detailed mother tongue,        Shanghainese ,,      15,,       5,,      10,,    1250,,     530,,     715,
Detailed mother tongue,        Sign languages; n.i.e. ,,      20,,      10,,      10,,     645,,     335,,     310,
Detailed mother tongue,        Sindhi ,,      40,,      25,,      15,,    1770,,     790,,     975,
Detailed mother tongue,        Sinhala (Sinhalese) ,,     165,,      80,,      85,,    1405,,     715,,     685,
Detailed mother tongue,        Sino-Tibetan languages; n.i.e. ,,     285,,     150,,     135,,     775,,     400,,     375,
Detailed mother tongue,        Slavic languages; n.i.e. ,,      15,,      10,,       5,,     495,,     275,,     225,
Detailed mother tongue,        Slovak ,,     100,,      45,,      55,,    3220,,    1440,,    1780,
Detailed mother tongue,        Slovenian ,,      20,,      10,,       5,,    1225,,     590,,     640,
Detailed mother tongue,        Somali ,,     165,,      80,,      85,,     975,,     495,,     480,
Detailed mother tongue,        Spanish ,,    2065,,    1055,,    1010,,   40795,,   19325,,   21470,
Detailed mother tongue,        Swahili ,,      80,,      45,,      35,,     755,,     390,,     365,
Detailed mother tongue,        Swedish ,,      35,,      15,,      15,,    2740,,    1195,,    1545,
Detailed mother tongue,        Tagalog (Pilipino; Filipino) ,,    4710,,    2045,,    2670,,   66120,,   25835,,   40285,
Detailed mother tongue,        Taiwanese ,,      90,,      35,,      50,,    5675,,    2640,,    3035,
Detailed mother tongue,        Tamil ,,     115,,      65,,      50,,    3135,,    1635,,    1500,
Detailed mother tongue,        Telugu ,,      45,,      25,,      20,,     570,,     295,,     270,
Detailed mother tongue,        Thai ,,      70,,      30,,      35,,    2410,,     730,,    1680,
Detailed mother tongue,        Tibetan languages ,,      10,,       0,,       5,,     200,,     115,,      85,
Detailed mother tongue,        Tigrigna ,,      30,,      20,,      10,,     590,,     285,,     300,
Detailed mother tongue,        Turkish ,,      40,,      20,,      15,,    2890,,    1650,,    1235,
Detailed mother tongue,        Ukrainian ,,     220,,      95,,     120,,    9680,,    4215,,    5460,
Detailed mother tongue,        Urdu ,,     910,,     450,,     455,,    8450,,    4315,,    4140,
Detailed mother tongue,        Vietnamese ,,    2075,,     955,,    1125,,   25100,,   11745,,   13360,
Detailed mother tongue,        Yiddish ,,       0,,       0,,       0,,     350,,     185,,     170,
Detailed mother tongue,      Other languages,22,     530,,     275,,     260,,   15585,,    7455,,    8130,
Detailed mother tongue,  Multiple responses         ,,    4485,,    2195,,    2290,,   82280,,   39185,,   43095,
Detailed mother tongue,    English and French ,,     130,,      60,,      70,,    8600,,    4065,,    4535,
Detailed mother tongue,    English and non-official language ,,    4195,,    2060,,    2140,,   68800,,   32875,,   35925,
Detailed mother tongue,    French and non-official language ,,     115,,      55,,      60,,    3345,,    1520,,    1830,
Detailed mother tongue,    English; French and non-official language,,      40,,      20,,      20,,    1530,,     725,,     805,
Knowledge of official languages,Knowledge of official languages - Total population excluding institutional residents,19,  110405,,   55870,,   54535,, 4356210,, 2137240,, 2218965,
Knowledge of official languages,  English only,,   97790,,   50320,,   47470,, 3912950,, 1943760,, 1969190,
Knowledge of official languages,  French only,,      85,,      35,,      45,,    2045,,     950,,    1095,
Knowledge of official languages,  English and French,,    4140,,    2020,,    2120,,  296645,,  132940,,  163705,
Knowledge of official languages,  Neither English nor French,,    8395,,    3500,,    4900,,  144555,,   59590,,   84965,
First official language spoken,First official language spoken - Total population excluding institutional residents,19,  110410,,   55870,,   54535,, 4356205,, 2137245,, 2218965,
First official language spoken,  English,,  100605,,   51645,,   48960,, 4143245,, 2044365,, 2098885,
First official language spoken,  French,,     895,,     490,,     400,,   53725,,   26660,,   27065,
First official language spoken,  English and French,,     635,,     300,,     335,,   16935,,    7710,,    9220,
First official language spoken,  Neither English nor French,,    8270,,    3435,,    4835,,  142300,,   58510,,   83790,
First official language spoken,Official language minority (number),23,    1210,,     645,,     570,,   62190,,   30515,,   31680,
First official language spoken,Official language minority (percentage),23,    1.1,,    1.2,,    1.0,,    1.4,,    1.4,,    1.4,
Detailed language spoken most often at home,Detailed language spoken most often at home - Total population excluding institutional residents,19,  110410,,   55875,,   54535,, 4356205,, 2137245,, 2218965,
Detailed language spoken most often at home,  Single responses,,   99970,,   50625,,   49340,, 4193385,, 2059465,, 2133915,
Detailed language spoken most often at home,    English,,   61405,,   31650,,   29755,, 3506595,, 1733775,, 1772820,
Detailed language spoken most often at home,    French,,     250,,     135,,     120,,   16685,,    8015,,    8665,
Detailed language spoken most often at home,    Non-official languages,,   38310,,   18845,,   19465,,  670100,,  317670,,  352430,
Detailed language spoken most often at home,      Selected Aboriginal languages,20,       0,,       5,,       0,,     175,,      85,,      85,
Detailed language spoken most often at home,        Atikamekw  ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Cree; n.o.s.,,       5,,       0,,       5,,     135,,      70,,      65,
Detailed language spoken most often at home,        Dene,,       0,,       0,,       0,,      15,,       5,,       5,
Detailed language spoken most often at home,        Innu/Montagnais,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Inuktitut,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed language spoken most often at home,        Mi'kmaq,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Ojibway,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed language spoken most often at home,        Oji-Cree,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Stoney,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,      Selected non-Aboriginal languages,21,   38035,,   18710,,   19330,,  665750,,  315485,,  350265,
Detailed language spoken most often at home,        African languages; n.i.e.,,      50,,      20,,      25,,     190,,      80,,     105,
Detailed language spoken most often at home,        Afrikaans,,       0,,       0,,       0,,    1385,,     685,,     690,
Detailed language spoken most often at home,        Akan (Twi),,      10,,       5,,       5,,     120,,      60,,      60,
Detailed language spoken most often at home,        Albanian,,      45,,      30,,      15,,     700,,     345,,     350,
Detailed language spoken most often at home,        Amharic,,      40,,      15,,      25,,     555,,     245,,     310,
Detailed language spoken most often at home,        Arabic,,     940,,     475,,     465,,    7640,,    4065,,    3575,
Detailed language spoken most often at home,        Armenian,,      10,,      10,,       5,,     490,,     250,,     240,
Detailed language spoken most often at home,        Bantu languages; n.i.e.,,      10,,       0,,       5,,     115,,      50,,      65,
Detailed language spoken most often at home,        Bengali,,     135,,      60,,      70,,    1465,,     715,,     750,
Detailed language spoken most often at home,        Berber languages (Kabyle),,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Bisayan languages,,     130,,      70,,      60,,    1265,,     540,,     720,
Detailed language spoken most often at home,        Bosnian,,      20,,      15,,      10,,     705,,     370,,     340,
Detailed language spoken most often at home,        Bulgarian,,      10,,       5,,       5,,    1085,,     530,,     555,
Detailed language spoken most often at home,        Burmese,,     135,,      80,,      55,,     585,,     315,,     270,
Detailed language spoken most often at home,        Cantonese,,     735,,     360,,     375,,  103550,,   47585,,   55970,
Detailed language spoken most often at home,        Chinese; n.o.s.,,    1240,,     610,,     635,,   81270,,   37740,,   43525,
Detailed language spoken most often at home,        Creoles,,      75,,      35,,      35,,     315,,     145,,     165,
Detailed language spoken most often at home,        Croatian,,      50,,      30,,      25,,    2540,,    1200,,    1340,
Detailed language spoken most often at home,        Czech,,      65,,      35,,      30,,    1570,,     795,,     775,
Detailed language spoken most often at home,        Danish,,       0,,       0,,       0,,     325,,     160,,     170,
Detailed language spoken most often at home,        Dutch,,      20,,      10,,      10,,    2230,,    1055,,    1175,
Detailed language spoken most often at home,        Estonian,,       0,,       0,,       0,,     110,,      40,,      70,
Detailed language spoken most often at home,        Finnish,,       5,,       5,,       5,,     795,,     350,,     445,
Detailed language spoken most often at home,        Flemish,,       0,,       0,,       0,,      50,,      25,,      20,
Detailed language spoken most often at home,        Fukien,,      10,,       5,,       5,,     690,,     310,,     380,
Detailed language spoken most often at home,        German,,     100,,      50,,      50,,   11555,,    5430,,    6120,
Detailed language spoken most often at home,        Greek,,      35,,      20,,      10,,    2105,,    1015,,    1095,
Detailed language spoken most often at home,        Gujarati,,     165,,      80,,      85,,    3045,,    1335,,    1710,
Detailed language spoken most often at home,        Hakka,,       5,,       5,,       5,,     320,,     145,,     175,
Detailed language spoken most often at home,        Hebrew,,       5,,       5,,       0,,     780,,     395,,     390,
Detailed language spoken most often at home,        Hindi,,    2715,,    1305,,    1410,,   12390,,    5900,,    6490,
Detailed language spoken most often at home,        Hungarian,,     125,,      60,,      65,,    2560,,    1235,,    1325,
Detailed language spoken most often at home,        Ilocano,,      95,,      45,,      50,,    1190,,     530,,     660,
Detailed language spoken most often at home,        Indo-Iranian languages; n.i.e.,,      20,,      10,,       5,,     180,,      85,,      85,
Detailed language spoken most often at home,        Italian,,      40,,      20,,      25,,    6250,,    2730,,    3520,
Detailed language spoken most often at home,        Japanese,,     105,,      40,,      60,,    9540,,    3985,,    5555,
