,,,Surrey - City (Census subdivision),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Detailed mother tongue,        Afrikaans ,,     170,,      85,,      90,,    2735,,    1330,,    1405,
Detailed mother tongue,        Akan (Twi) ,,     150,,      70,,      80,,     455,,     235,,     220,
Detailed mother tongue,        Albanian ,,     265,,     125,,     140,,    1335,,     695,,     635,
Detailed mother tongue,        Amharic ,,     290,,     130,,     160,,    1255,,     615,,     640,
Detailed mother tongue,        Arabic ,,    2930,,    1555,,    1375,,   13050,,    7505,,    5550,
Detailed mother tongue,        Armenian ,,      85,,      35,,      45,,    1105,,     560,,     545,
Detailed mother tongue,        Bantu languages; n.i.e. ,,     115,,      45,,      70,,     530,,     235,,     295,
Detailed mother tongue,        Bengali ,,     465,,     235,,     230,,    2410,,    1265,,    1145,
Detailed mother tongue,        Berber languages (Kabyle) ,,       5,,       5,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Bisayan languages ,,     750,,     315,,     440,,    3870,,    1445,,    2430,
Detailed mother tongue,        Bosnian ,,     140,,      75,,      65,,    1275,,     635,,     640,
Detailed mother tongue,        Bulgarian ,,      90,,      45,,      40,,    1945,,     960,,     985,
Detailed mother tongue,        Burmese ,,     250,,     140,,     110,,     945,,     485,,     465,
Detailed mother tongue,        Cantonese ,,    3890,,    1835,,    2050,,  133245,,   61790,,   71455,
Detailed mother tongue,        Chinese; n.o.s. ,,    7760,,    3630,,    4135,,  120040,,   55735,,   64305,
Detailed mother tongue,        Creoles ,,     215,,     105,,     115,,     640,,     315,,     320,
Detailed mother tongue,        Croatian ,,     735,,     385,,     355,,    7820,,    3860,,    3955,
Detailed mother tongue,        Czech ,,     495,,     250,,     250,,    5610,,    2800,,    2810,
Detailed mother tongue,        Danish ,,     450,,     230,,     220,,    5250,,    2575,,    2675,
Detailed mother tongue,        Dutch ,,    1765,,     825,,     940,,   23080,,   11190,,   11890,
Detailed mother tongue,        Estonian ,,      80,,      40,,      45,,     820,,     345,,     475,
Detailed mother tongue,        Finnish ,,     280,,     115,,     165,,    4090,,    1705,,    2390,
Detailed mother tongue,        Flemish ,,      35,,      20,,      15,,     445,,     215,,     235,
Detailed mother tongue,        Fukien ,,     125,,      50,,      75,,    1920,,     835,,    1085,
Detailed mother tongue,        German ,,    4910,,    2285,,    2625,,   73625,,   35140,,   38485,
Detailed mother tongue,        Greek ,,     575,,     315,,     255,,    6250,,    3360,,    2885,
Detailed mother tongue,        Gujarati ,,    1240,,     600,,     635,,    6595,,    3060,,    3540,
Detailed mother tongue,        Hakka ,,      70,,      30,,      45,,    1110,,     475,,     630,
Detailed mother tongue,        Hebrew ,,      50,,      30,,      20,,    1755,,     970,,     785,
Detailed mother tongue,        Hindi ,,   12235,,    5860,,    6370,,   24640,,   11840,,   12800,
Detailed mother tongue,        Hungarian ,,    1030,,     520,,     510,,    9855,,    4915,,    4940,
Detailed mother tongue,        Ilocano ,,     650,,     280,,     370,,    3755,,    1465,,    2290,
Detailed mother tongue,        Indo-Iranian languages; n.i.e. ,,     125,,      70,,      55,,     475,,     265,,     205,
Detailed mother tongue,        Italian ,,    1395,,     760,,     635,,   24060,,   12180,,   11880,
Detailed mother tongue,        Japanese ,,     950,,     360,,     595,,   19665,,    6840,,   12825,
Detailed mother tongue,        Khmer (Cambodian) ,,     600,,     290,,     310,,    1465,,     700,,     770,
Detailed mother tongue,        Korean ,,    7740,,    3675,,    4070,,   48975,,   22350,,   26625,
Detailed mother tongue,        Kurdish ,,     115,,      70,,      50,,    1415,,     775,,     645,
Detailed mother tongue,        Lao ,,     580,,     285,,     295,,    1155,,     550,,     600,
Detailed mother tongue,        Latvian ,,      35,,      25,,      10,,     615,,     305,,     310,
Detailed mother tongue,        Lingala ,,       5,,       0,,       0,,      35,,      20,,      20,
Detailed mother tongue,        Lithuanian ,,      35,,      15,,      20,,     435,,     190,,     245,
Detailed mother tongue,        Macedonian ,,      15,,       5,,      10,,     275,,     130,,     140,
Detailed mother tongue,        Malay ,,     355,,     160,,     200,,    3535,,    1590,,    1950,
Detailed mother tongue,        Malayalam ,,     390,,     200,,     190,,    1460,,     735,,     725,
Detailed mother tongue,        Maltese ,,      15,,       5,,       5,,     220,,     115,,     115,
Detailed mother tongue,        Mandarin ,,   10050,,    4855,,    5195,,   94055,,   43630,,   50425,
Detailed mother tongue,        Marathi ,,      55,,      25,,      30,,     430,,     220,,     210,
Detailed mother tongue,        Nepali ,,     300,,     155,,     145,,     805,,     430,,     375,
Detailed mother tongue,        Niger-Congo languages; n.i.e. ,,     130,,      70,,      60,,     470,,     250,,     220,
Detailed mother tongue,        Norwegian ,,     205,,      90,,     115,,    2370,,    1155,,    1215,
Detailed mother tongue,        Oromo ,,      50,,      25,,      25,,     325,,     185,,     140,
Detailed mother tongue,        Panjabi (Punjabi) ,,   93785,,   46785,,   47000,,  182915,,   90900,,   92020,
Detailed mother tongue,        Pashto ,,     385,,     190,,     195,,     900,,     485,,     415,
Detailed mother tongue,        Persian (Farsi) ,,    2030,,    1045,,     990,,   36045,,   18265,,   17775,
Detailed mother tongue,        Polish ,,    2735,,    1340,,    1400,,   17460,,    8185,,    9270,
Detailed mother tongue,        Portuguese ,,    1350,,     660,,     690,,   14605,,    6990,,    7615,
Detailed mother tongue,        Romanian ,,     630,,     320,,     310,,    8330,,    4110,,    4220,
Detailed mother tongue,        Rundi (Kirundi) ,,      45,,      25,,      20,,     135,,      60,,      80,
Detailed mother tongue,        Russian ,,    1370,,     635,,     740,,   22650,,   10300,,   12350,
Detailed mother tongue,        Rwanda (Kinyarwanda) ,,      20,,      10,,      10,,      80,,      40,,      45,
Detailed mother tongue,        Semitic languages; n.i.e. ,,     455,,     230,,     225,,     690,,     345,,     340,
Detailed mother tongue,        Serbian ,,     460,,     250,,     205,,    6655,,    3425,,    3225,
Detailed mother tongue,        Serbo-Croatian ,,      85,,      45,,      40,,    1425,,     675,,     755,
Detailed mother tongue,        Shanghainese ,,      45,,      25,,      20,,    1250,,     530,,     715,
Detailed mother tongue,        Sign languages; n.i.e. ,,      90,,      45,,      45,,     645,,     335,,     310,
Detailed mother tongue,        Sindhi ,,     210,,     100,,     115,,    1770,,     790,,     975,
Detailed mother tongue,        Sinhala (Sinhalese) ,,     535,,     260,,     270,,    1405,,     715,,     685,
Detailed mother tongue,        Sino-Tibetan languages; n.i.e. ,,     305,,     160,,     145,,     775,,     400,,     375,
Detailed mother tongue,        Slavic languages; n.i.e. ,,      35,,      20,,      20,,     495,,     275,,     225,
Detailed mother tongue,        Slovak ,,     290,,     130,,     165,,    3220,,    1440,,    1780,
Detailed mother tongue,        Slovenian ,,     105,,      50,,      50,,    1225,,     590,,     640,
Detailed mother tongue,        Somali ,,     535,,     260,,     275,,     975,,     495,,     480,
Detailed mother tongue,        Spanish ,,    5865,,    2835,,    3030,,   40795,,   19325,,   21470,
Detailed mother tongue,        Swahili ,,     160,,      90,,      75,,     755,,     390,,     365,
Detailed mother tongue,        Swedish ,,     145,,      65,,      85,,    2740,,    1195,,    1545,
Detailed mother tongue,        Tagalog (Pilipino; Filipino) ,,   13740,,    5955,,    7790,,   66120,,   25835,,   40285,
Detailed mother tongue,        Taiwanese ,,     745,,     360,,     390,,    5675,,    2640,,    3035,
Detailed mother tongue,        Tamil ,,     525,,     270,,     250,,    3135,,    1635,,    1500,
Detailed mother tongue,        Telugu ,,     100,,      55,,      45,,     570,,     295,,     270,
Detailed mother tongue,        Thai ,,     200,,      65,,     135,,    2410,,     730,,    1680,
Detailed mother tongue,        Tibetan languages ,,      45,,      20,,      20,,     200,,     115,,      85,
Detailed mother tongue,        Tigrigna ,,      90,,      55,,      35,,     590,,     285,,     300,
Detailed mother tongue,        Turkish ,,     190,,     100,,      90,,    2890,,    1650,,    1235,
Detailed mother tongue,        Ukrainian ,,     910,,     390,,     520,,    9680,,    4215,,    5460,
Detailed mother tongue,        Urdu ,,    4495,,    2280,,    2220,,    8450,,    4315,,    4140,
Detailed mother tongue,        Vietnamese ,,    6035,,    2850,,    3185,,   25100,,   11745,,   13360,
Detailed mother tongue,        Yiddish ,,      15,,      10,,      10,,     350,,     185,,     170,
Detailed mother tongue,      Other languages,22,    1325,,     645,,     680,,   15585,,    7455,,    8130,
Detailed mother tongue,  Multiple responses         ,,   15235,,    7475,,    7755,,   82280,,   39185,,   43095,
Detailed mother tongue,    English and French ,,     635,,     295,,     340,,    8600,,    4065,,    4535,
Detailed mother tongue,    English and non-official language ,,   14055,,    6915,,    7140,,   68800,,   32875,,   35925,
Detailed mother tongue,    French and non-official language ,,     350,,     165,,     190,,    3345,,    1520,,    1830,
Detailed mother tongue,    English; French and non-official language,,     190,,     100,,      85,,    1530,,     725,,     805,
Knowledge of official languages,Knowledge of official languages - Total population excluding institutional residents,19,  465010,,  230090,,  234915,, 4356210,, 2137240,, 2218965,
Knowledge of official languages,  English only,,  413830,,  208255,,  205575,, 3912950,, 1943760,, 1969190,
Knowledge of official languages,  French only,,     225,,     100,,     125,,    2045,,     950,,    1095,
Knowledge of official languages,  English and French,,   21305,,    9540,,   11770,,  296645,,  132940,,  163705,
Knowledge of official languages,  Neither English nor French,,   29650,,   12195,,   17450,,  144555,,   59590,,   84965,
First official language spoken,First official language spoken - Total population excluding institutional residents,19,  465010,,  230095,,  234915,, 4356205,, 2137245,, 2218965,
First official language spoken,  English,,  429840,,  215225,,  214610,, 4143245,, 2044365,, 2098885,
First official language spoken,  French,,    3510,,    1750,,    1760,,   53725,,   26660,,   27065,
First official language spoken,  English and French,,    2410,,    1115,,    1290,,   16935,,    7710,,    9220,
First official language spoken,  Neither English nor French,,   29255,,   11995,,   17255,,  142300,,   58510,,   83790,
First official language spoken,Official language minority (number),23,    4715,,    2305,,    2400,,   62190,,   30515,,   31680,
First official language spoken,Official language minority (percentage),23,    1.0,,    1.0,,    1.0,,    1.4,,    1.4,,    1.4,
Detailed language spoken most often at home,Detailed language spoken most often at home - Total population excluding institutional residents,19,  465010,,  230090,,  234920,, 4356205,, 2137245,, 2218965,
Detailed language spoken most often at home,  Single responses,,  429585,,  212510,,  217070,, 4193385,, 2059465,, 2133915,
Detailed language spoken most often at home,    English,,  291155,,  144725,,  146430,, 3506595,, 1733775,, 1772820,
Detailed language spoken most often at home,    French,,    1050,,     505,,     540,,   16685,,    8015,,    8665,
Detailed language spoken most often at home,    Non-official languages,,  137380,,   67275,,   70100,,  670100,,  317670,,  352430,
Detailed language spoken most often at home,      Selected Aboriginal languages,20,       5,,       0,,       5,,     175,,      85,,      85,
Detailed language spoken most often at home,        Atikamekw  ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Cree; n.o.s.,,       5,,       0,,       0,,     135,,      70,,      65,
Detailed language spoken most often at home,        Dene,,       0,,       0,,       0,,      15,,       5,,       5,
Detailed language spoken most often at home,        Innu/Montagnais,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Inuktitut,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed language spoken most often at home,        Mi'kmaq,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Ojibway,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed language spoken most often at home,        Oji-Cree,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Stoney,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,      Selected non-Aboriginal languages,21,  136795,,   67000,,   69805,,  665750,,  315485,,  350265,
Detailed language spoken most often at home,        African languages; n.i.e.,,      90,,      35,,      50,,     190,,      80,,     105,
Detailed language spoken most often at home,        Afrikaans,,      90,,      45,,      45,,    1385,,     685,,     690,
Detailed language spoken most often at home,        Akan (Twi),,      45,,      20,,      25,,     120,,      60,,      60,
Detailed language spoken most often at home,        Albanian,,     165,,      80,,      85,,     700,,     345,,     350,
Detailed language spoken most often at home,        Amharic,,     130,,      55,,      75,,     555,,     245,,     310,
Detailed language spoken most often at home,        Arabic,,    1875,,     945,,     935,,    7640,,    4065,,    3575,
Detailed language spoken most often at home,        Armenian,,      30,,      15,,      15,,     490,,     250,,     240,
Detailed language spoken most often at home,        Bantu languages; n.i.e.,,      30,,      10,,      15,,     115,,      50,,      65,
Detailed language spoken most often at home,        Bengali,,     305,,     145,,     160,,    1465,,     715,,     750,
Detailed language spoken most often at home,        Berber languages (Kabyle),,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Bisayan languages,,     290,,     135,,     150,,    1265,,     540,,     720,
Detailed language spoken most often at home,        Bosnian,,      75,,      40,,      30,,     705,,     370,,     340,
Detailed language spoken most often at home,        Bulgarian,,      45,,      25,,      20,,    1085,,     530,,     555,
Detailed language spoken most often at home,        Burmese,,     185,,     105,,      80,,     585,,     315,,     270,
Detailed language spoken most often at home,        Cantonese,,    2685,,    1280,,    1405,,  103550,,   47585,,   55970,
Detailed language spoken most often at home,        Chinese; n.o.s.,,    5390,,    2560,,    2825,,   81270,,   37740,,   43525,
Detailed language spoken most often at home,        Creoles,,     135,,      65,,      65,,     315,,     145,,     165,
Detailed language spoken most often at home,        Croatian,,     205,,     100,,     110,,    2540,,    1200,,    1340,
Detailed language spoken most often at home,        Czech,,     175,,      90,,      90,,    1570,,     795,,     775,
Detailed language spoken most often at home,        Danish,,      10,,       5,,       5,,     325,,     160,,     170,
Detailed language spoken most often at home,        Dutch,,     120,,      55,,      65,,    2230,,    1055,,    1175,
Detailed language spoken most often at home,        Estonian,,      15,,       0,,      10,,     110,,      40,,      70,
Detailed language spoken most often at home,        Finnish,,      40,,      15,,      25,,     795,,     350,,     445,
Detailed language spoken most often at home,        Flemish,,       0,,       0,,       0,,      50,,      25,,      20,
Detailed language spoken most often at home,        Fukien,,      50,,      20,,      25,,     690,,     310,,     380,
Detailed language spoken most often at home,        German,,     520,,     235,,     280,,   11555,,    5430,,    6120,
Detailed language spoken most often at home,        Greek,,     170,,      80,,      85,,    2105,,    1015,,    1095,
Detailed language spoken most often at home,        Gujarati,,     650,,     310,,     345,,    3045,,    1335,,    1710,
Detailed language spoken most often at home,        Hakka,,      15,,       5,,      10,,     320,,     145,,     175,
Detailed language spoken most often at home,        Hebrew,,       5,,       5,,       0,,     780,,     395,,     390,
Detailed language spoken most often at home,        Hindi,,    6885,,    3300,,    3580,,   12390,,    5900,,    6490,
Detailed language spoken most often at home,        Hungarian,,     280,,     145,,     140,,    2560,,    1235,,    1325,
Detailed language spoken most often at home,        Ilocano,,     210,,     105,,     115,,    1190,,     530,,     660,
Detailed language spoken most often at home,        Indo-Iranian languages; n.i.e.,,      55,,      30,,      30,,     180,,      85,,      85,
